+-----------------------+----------+-----------+--------+--------+--------------+--------------+--------------------+
|     N. del paquete    | Accuracy | Precision | Recall |   F1   | RAM Usage(%) | CPU Usage(%) |   Execution Time   |
+-----------------------+----------+-----------+--------+--------+--------------+--------------+--------------------+
|    bs(html.parser)    |  0.5165  |   0.5129  | 0.9928 | 0.6764 |     41.8     |     2.1      | 4.13277268409729   |
|        bs(lxml)       |  0.5165  |   0.5129  | 0.9928 | 0.6764 |     42.0     |     1.2      | 3.177893877029419  |
|      bs(html5lib)     |  0.1327  |   0.1315  | 0.9921 | 0.2323 |     39.1     |     3.4      |  9.86046552658081  |
|      boilerpipeR      |  0.7830  |   0.8486  | 0.8696 | 0.8590 |     47.9     |     2.6      | 39.95431876182556  |
|        boilerpy       |  0.7947  |   0.8544  | 0.8803 | 0.8672 |     43.9     |     1.9      | 2.541297435760498  |
|         Goose3        |  0.8658  |   0.9273  | 0.8913 | 0.9089 |     32.2     |     6.1      | 25.9731            |
|        htm2txt        |  0.4547  |   0.4714  | 0.8885 | 0.6160 |     46.7     |     2.0      | 80.52885246276855  |
|       html2text       |  0.5105  |   0.5107  | 0.9804 | 0.6715 |     44.6     |     1.8      | 4.402010202407837  |
|        html_text      |  0.5166  |   0.5130  | 0.9928 | 0.6765 |     44.9     |     0.5      | 1.1800715923309326 |
|       inscriptis      |  0.5414  |   0.5404  | 0.9875 | 0.6985 |     45.0     |     0.2      | 2.1009185314178467 |
|        justext        |  0.7668  |   0.8649  | 0.8573 | 0.8610 |     45.1     |     0.5      | 2.9546947479248047 |
|        rcrawler       |  0.4540  |   0.4628  | 0.9310 | 0.6181 |     46.7     |     3.4      | 158.0663492679596  |
|      readability      |  0.8880  |   0.9101  | 0.9370 | 0.9233 |     45.3     |     1.6      | 3.5952835083007812 |
|         rvest         |  0.1347  |   0.1371  | 0.8974 | 0.2378 |     44.1     |     8.9      | 60.32458519935608  |
|      trafilatura      |  0.9124  |   0.9196  | 0.9707 | 0.9444 |     45.7     |     1.4      |  4.39198112487793  |
| trafilatura_precision |  0.9129  |   0.9208  | 0.9699 | 0.9447 |     45.9     |     1.4      | 4.459050416946411  |
|   trafilatura_recall  |  0.9188  |   0.9287  | 0.9776 | 0.9525 |     46.3     |     0.5      | 3.0888051986694336 |
|       xpath_text      |  0.2421  |   0.2401  | 0.9915 | 0.3866 |     44.4     |     2.0      | 0.7476787567138672 |
+-----------------------+----------+-----------+--------+--------+--------------+--------------+--------------------+
